Epoch,Open,High,Low,Close,Volume,Number
2023-12-16 17:00:00+00:00,2253.12,2253.28,2248.61,2249.98,2073736.506765,2221
2023-12-16 17:05:00+00:00,2249.98,2251.51,2249.2,2250.8,1022571.858511,1460
2023-12-16 17:10:00+00:00,2250.8,2250.93,2247.23,2247.23,1523710.6697260002,1570
2023-12-16 17:15:00+00:00,2247.23,2250.83,2246.44,2250.83,1286889.518978,1497
2023-12-16 17:20:00+00:00,2250.83,2254.08,2250.79,2252.83,2087631.597042,1555
2023-12-16 17:25:00+00:00,2252.83,2252.87,2251.12,2251.42,903465.058764,1328
2023-12-16 17:30:00+00:00,2251.42,2252.15,2247.31,2250.83,1467426.602898,1685
2023-12-16 17:35:00+00:00,2250.83,2251.27,2249.87,2249.96,1052174.17326,1371
2023-12-16 17:40:00+00:00,2249.96,2253.4,2249.95,2253.38,1024965.581927,1305
2023-12-16 17:45:00+00:00,2253.38,2254.52,2252.76,2254.52,871983.487033,1275
2023-12-16 17:50:00+00:00,2254.52,2254.9,2251.5,2251.68,1245229.524502,1291
2023-12-16 17:55:00+00:00,2251.68,2252.14,2249.43,2249.76,1060579.964465,1214
2023-12-16 18:00:00+00:00,2249.76,2249.99,2244.61,2245.18,1827440.9546110001,1839
2023-12-16 18:05:00+00:00,2245.18,2247.37,2245.0,2245.71,2237538.751147,1748
2023-12-16 18:10:00+00:00,2245.71,2246.09,2243.32,2244.08,1264265.793152,1335
2023-12-16 18:15:00+00:00,2244.08,2245.34,2242.66,2244.78,1537146.458457,1715
2023-12-16 18:20:00+00:00,2244.78,2245.78,2243.8,2243.8,855996.309345,1158
2023-12-16 18:25:00+00:00,2243.8,2243.81,2241.0,2242.29,1570139.104552,1381
2023-12-16 18:30:00+00:00,2242.29,2244.37,2241.8,2243.74,1373969.942515,1391
2023-12-16 18:35:00+00:00,2243.74,2245.63,2243.47,2243.94,807272.7774680001,1256
2023-12-16 18:40:00+00:00,2243.94,2245.6,2243.31,2243.47,1402151.39754,1146
2023-12-16 18:45:00+00:00,2243.47,2244.23,2242.67,2243.59,883490.35561,1318
2023-12-16 18:50:00+00:00,2243.59,2244.67,2235.32,2236.4,4974058.387546,2417
2023-12-16 18:55:00+00:00,2236.4,2243.43,2236.39,2243.03,1845740.304798,1789
2023-12-16 19:00:00+00:00,2243.03,2246.07,2243.03,2245.68,899200.945744,1145
2023-12-16 19:05:00+00:00,2245.68,2245.69,2238.4,2239.66,995946.7268050001,1454
2023-12-16 19:10:00+00:00,2239.66,2240.61,2235.29,2237.34,1301868.2725489999,1691
2023-12-16 19:15:00+00:00,2237.34,2240.6,2236.45,2239.41,1041682.1809950001,1309
2023-12-16 19:20:00+00:00,2239.41,2242.03,2238.39,2239.2,994679.5768570001,1237
2023-12-16 19:25:00+00:00,2239.2,2239.62,2236.06,2239.0,1445380.585599,1351
2023-12-16 19:30:00+00:00,2239.0,2239.98,2230.6,2234.29,2991165.537871,2228
2023-12-16 19:35:00+00:00,2234.29,2235.14,2231.38,2231.61,1363231.084055,1942
2023-12-16 19:40:00+00:00,2231.61,2233.21,2230.85,2233.2,1437844.101021,1425
2023-12-16 19:45:00+00:00,2233.2,2236.41,2233.2,2235.99,1005597.9913679999,1271
2023-12-16 19:50:00+00:00,2235.99,2236.59,2235.0,2235.6,722255.6500349999,1117
2023-12-16 19:55:00+00:00,2235.6,2236.53,2234.5,2235.17,1053770.696789,1038
2023-12-16 20:00:00+00:00,2235.17,2241.8,2234.75,2240.91,2130632.798915,1548
2023-12-16 20:05:00+00:00,2240.91,2241.85,2239.63,2240.26,1633413.583056,1244
